img1,img2,label
data\LFW\lfw-deepfunneled\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0001.jpg,data\LFW\lfw-deepfunneled\Adolfo_Aguilar_Zinser\Adolfo_Aguilar_Zinser_0003.jpg,1
data\LFW\lfw-deepfunneled\Ahmed_Chalabi\Ahmed_Chalabi_0002.jpg,data\LFW\lfw-deepfunneled\Ahmed_Chalabi\Ahmed_Chalabi_0004.jpg,1
data\LFW\lfw-deepfunneled\Ai_Sugiyama\Ai_Sugiyama_0002.jpg,data\LFW\lfw-deepfunneled\Ai_Sugiyama\Ai_Sugiyama_0004.jpg,1
data\LFW\lfw-deepfunneled\Aicha_El_Ouafi\Aicha_El_Ouafi_0001.jpg,data\LFW\lfw-deepfunneled\Aicha_El_Ouafi\Aicha_El_Ouafi_0003.jpg,1
data\LFW\lfw-deepfunneled\Aicha_El_Ouafi\Aicha_El_Ouafi_0002.jpg,data\LFW\lfw-deepfunneled\Aicha_El_Ouafi\Aicha_El_Ouafi_0003.jpg,1
data\LFW\lfw-deepfunneled\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0001.jpg,data\LFW\lfw-deepfunneled\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0003.jpg,1
data\LFW\lfw-deepfunneled\Akhmed_Zakayev\Akhmed_Zakayev_0001.jpg,data\LFW\lfw-deepfunneled\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1
data\LFW\lfw-deepfunneled\Akhmed_Zakayev\Akhmed_Zakayev_0002.jpg,data\LFW\lfw-deepfunneled\Akhmed_Zakayev\Akhmed_Zakayev_0003.jpg,1
data\LFW\lfw-deepfunneled\Al_Gore\Al_Gore_0001.jpg,data\LFW\lfw-deepfunneled\Al_Gore\Al_Gore_0003.jpg,1
data\LFW\lfw-deepfunneled\Alan_Ball\Alan_Ball_0001.jpg,data\LFW\lfw-deepfunneled\Alan_Ball\Alan_Ball_0002.jpg,1
data\LFW\lfw-deepfunneled\Alberto_Fujimori\Alberto_Fujimori_0001.jpg,data\LFW\lfw-deepfunneled\Alberto_Fujimori\Alberto_Fujimori_0002.jpg,1
data\LFW\lfw-deepfunneled\Alberto_Ruiz_Gallardon\Alberto_Ruiz_Gallardon_0001.jpg,data\LFW\lfw-deepfunneled\Alberto_Ruiz_Gallardon\Alberto_Ruiz_Gallardon_0002.jpg,1
data\LFW\lfw-deepfunneled\Albrecht_Mentz\Albrecht_Mentz_0001.jpg,data\LFW\lfw-deepfunneled\Albrecht_Mentz\Albrecht_Mentz_0002.jpg,1
data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0001.jpg,data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0002.jpg,1
data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0001.jpg,data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0004.jpg,1
data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0002.jpg,data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0003.jpg,1
data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0003.jpg,data\LFW\lfw-deepfunneled\Alec_Baldwin\Alec_Baldwin_0004.jpg,1
data\LFW\lfw-deepfunneled\Alejandro_Toledo\Alejandro_Toledo_0020.jpg,data\LFW\lfw-deepfunneled\Alejandro_Toledo\Alejandro_Toledo_0038.jpg,1
data\LFW\lfw-deepfunneled\Alex_Barros\Alex_Barros_0001.jpg,data\LFW\lfw-deepfunneled\Alex_Barros\Alex_Barros_0002.jpg,1
data\LFW\lfw-deepfunneled\Alex_Sink\Alex_Sink_0002.jpg,data\LFW\lfw-deepfunneled\Alex_Sink\Alex_Sink_0003.jpg,1
data\LFW\lfw-deepfunneled\Alexandra_Stevenson\Alexandra_Stevenson_0001.jpg,data\LFW\lfw-deepfunneled\Alexandra_Stevenson\Alexandra_Stevenson_0002.jpg,1
data\LFW\lfw-deepfunneled\Alexandra_Stevenson\Alexandra_Stevenson_0001.jpg,data\LFW\lfw-deepfunneled\Alexandra_Stevenson\Alexandra_Stevenson_0003.jpg,1
data\LFW\lfw-deepfunneled\Alexandra_Vodjanikova\Alexandra_Vodjanikova_0001.jpg,data\LFW\lfw-deepfunneled\Alexandra_Vodjanikova\Alexandra_Vodjanikova_0002.jpg,1
data\LFW\lfw-deepfunneled\Ali_Abbas\Ali_Abbas_0001.jpg,data\LFW\lfw-deepfunneled\Ali_Abbas\Ali_Abbas_0002.jpg,1
data\LFW\lfw-deepfunneled\Ali_Khamenei\Ali_Khamenei_0001.jpg,data\LFW\lfw-deepfunneled\Ali_Khamenei\Ali_Khamenei_0002.jpg,1
data\LFW\lfw-deepfunneled\Alice_Fisher\Alice_Fisher_0001.jpg,data\LFW\lfw-deepfunneled\Alice_Fisher\Alice_Fisher_0002.jpg,1
data\LFW\lfw-deepfunneled\Alicia_Silverstone\Alicia_Silverstone_0001.jpg,data\LFW\lfw-deepfunneled\Alicia_Silverstone\Alicia_Silverstone_0002.jpg,1
data\LFW\lfw-deepfunneled\Alimzhan_Tokhtakhounov\Alimzhan_Tokhtakhounov_0001.jpg,data\LFW\lfw-deepfunneled\Alimzhan_Tokhtakhounov\Alimzhan_Tokhtakhounov_0002.jpg,1
data\LFW\lfw-deepfunneled\Alison_Lohman\Alison_Lohman_0001.jpg,data\LFW\lfw-deepfunneled\Alison_Lohman\Alison_Lohman_0002.jpg,1
data\LFW\lfw-deepfunneled\Alvaro_Noboa\Alvaro_Noboa_0001.jpg,data\LFW\lfw-deepfunneled\Alvaro_Noboa\Alvaro_Noboa_0002.jpg,1
data\LFW\lfw-deepfunneled\Alvaro_Noboa\Alvaro_Noboa_0002.jpg,data\LFW\lfw-deepfunneled\Alvaro_Noboa\Alvaro_Noboa_0003.jpg,1
data\LFW\lfw-deepfunneled\Alvaro_Silva_Calderon\Alvaro_Silva_Calderon_0003.jpg,data\LFW\lfw-deepfunneled\Alvaro_Silva_Calderon\Alvaro_Silva_Calderon_0004.jpg,1
data\LFW\lfw-deepfunneled\Amanda_Beard\Amanda_Beard_0001.jpg,data\LFW\lfw-deepfunneled\Amanda_Beard\Amanda_Beard_0002.jpg,1
data\LFW\lfw-deepfunneled\Amber_Tamblyn\Amber_Tamblyn_0001.jpg,data\LFW\lfw-deepfunneled\Amber_Tamblyn\Amber_Tamblyn_0002.jpg,1
data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0002.jpg,data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0004.jpg,1
data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0005.jpg,data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0007.jpg,1
data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0006.jpg,data\LFW\lfw-deepfunneled\Amelia_Vega\Amelia_Vega_0007.jpg,1
data\LFW\lfw-deepfunneled\Amer_al-Saadi\Amer_al-Saadi_0001.jpg,data\LFW\lfw-deepfunneled\Amer_al-Saadi\Amer_al-Saadi_0002.jpg,1
data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0001.jpg,data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0005.jpg,1
data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0001.jpg,data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0006.jpg,1
data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0002.jpg,data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0006.jpg,1
data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0003.jpg,data\LFW\lfw-deepfunneled\Ana_Guevara\Ana_Guevara_0006.jpg,1
data\LFW\lfw-deepfunneled\Anastasia_Myskina\Anastasia_Myskina_0001.jpg,data\LFW\lfw-deepfunneled\Anastasia_Myskina\Anastasia_Myskina_0002.jpg,1
data\LFW\lfw-deepfunneled\Anastasia_Myskina\Anastasia_Myskina_0002.jpg,data\LFW\lfw-deepfunneled\Anastasia_Myskina\Anastasia_Myskina_0003.jpg,1
data\LFW\lfw-deepfunneled\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0001.jpg,data\LFW\lfw-deepfunneled\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0002.jpg,1
data\LFW\lfw-deepfunneled\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0003.jpg,data\LFW\lfw-deepfunneled\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0004.jpg,1
data\LFW\lfw-deepfunneled\Andre_Agassi\Andre_Agassi_0009.jpg,data\LFW\lfw-deepfunneled\Andre_Agassi\Andre_Agassi_0018.jpg,1
data\LFW\lfw-deepfunneled\Andrew_Weissmann\Andrew_Weissmann_0001.jpg,data\LFW\lfw-deepfunneled\Andrew_Weissmann\Andrew_Weissmann_0003.jpg,1
data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0003.jpg,data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0015.jpg,1
data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0009.jpg,data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0014.jpg,1
data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0012.jpg,data\LFW\lfw-deepfunneled\Andy_Roddick\Andy_Roddick_0015.jpg,1
data\LFW\lfw-deepfunneled\Angela_Bassett\Angela_Bassett_0002.jpg,data\LFW\lfw-deepfunneled\Angela_Bassett\Angela_Bassett_0006.jpg,1
data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0003.jpg,data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0015.jpg,1
data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0004.jpg,data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0016.jpg,1
data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0008.jpg,data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0015.jpg,1
data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0009.jpg,data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0017.jpg,1
data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0016.jpg,data\LFW\lfw-deepfunneled\Angelina_Jolie\Angelina_Jolie_0017.jpg,1
data\LFW\lfw-deepfunneled\Anibal_Ibarra\Anibal_Ibarra_0002.jpg,data\LFW\lfw-deepfunneled\Anibal_Ibarra\Anibal_Ibarra_0003.jpg,1
data\LFW\lfw-deepfunneled\Anna_Kournikova\Anna_Kournikova_0005.jpg,data\LFW\lfw-deepfunneled\Anna_Kournikova\Anna_Kournikova_0009.jpg,1
data\LFW\lfw-deepfunneled\Annette_Bening\Annette_Bening_0001.jpg,data\LFW\lfw-deepfunneled\Annette_Bening\Annette_Bening_0002.jpg,1
data\LFW\lfw-deepfunneled\Anthony_Hopkins\Anthony_Hopkins_0001.jpg,data\LFW\lfw-deepfunneled\Anthony_Hopkins\Anthony_Hopkins_0002.jpg,1
data\LFW\lfw-deepfunneled\Antonio_Banderas\Antonio_Banderas_0002.jpg,data\LFW\lfw-deepfunneled\Antonio_Banderas\Antonio_Banderas_0003.jpg,1
data\LFW\lfw-deepfunneled\Antonio_Banderas\Antonio_Banderas_0002.jpg,data\LFW\lfw-deepfunneled\Antonio_Banderas\Antonio_Banderas_0004.jpg,1
data\LFW\lfw-deepfunneled\Antony_Leung\Antony_Leung_0002.jpg,data\LFW\lfw-deepfunneled\Antony_Leung\Antony_Leung_0003.jpg,1
data\LFW\lfw-deepfunneled\Anwar_Ibrahim\Anwar_Ibrahim_0001.jpg,data\LFW\lfw-deepfunneled\Anwar_Ibrahim\Anwar_Ibrahim_0002.jpg,1
data\LFW\lfw-deepfunneled\Arantxa_Sanchez-Vicario\Arantxa_Sanchez-Vicario_0001.jpg,data\LFW\lfw-deepfunneled\Arantxa_Sanchez-Vicario\Arantxa_Sanchez-Vicario_0002.jpg,1
data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0001.jpg,data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0013.jpg,1
data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0002.jpg,data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0004.jpg,1
data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0004.jpg,data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0006.jpg,1
data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0008.jpg,data\LFW\lfw-deepfunneled\Ari_Fleischer\Ari_Fleischer_0013.jpg,1
data\LFW\lfw-deepfunneled\Arianna_Huffington\Arianna_Huffington_0001.jpg,data\LFW\lfw-deepfunneled\Arianna_Huffington\Arianna_Huffington_0002.jpg,1
data\LFW\lfw-deepfunneled\Arianna_Huffington\Arianna_Huffington_0002.jpg,data\LFW\lfw-deepfunneled\Arianna_Huffington\Arianna_Huffington_0003.jpg,1
data\LFW\lfw-deepfunneled\Arminio_Fraga\Arminio_Fraga_0002.jpg,data\LFW\lfw-deepfunneled\Arminio_Fraga\Arminio_Fraga_0006.jpg,1
data\LFW\lfw-deepfunneled\Arnold_Palmer\Arnold_Palmer_0001.jpg,data\LFW\lfw-deepfunneled\Arnold_Palmer\Arnold_Palmer_0002.jpg,1
data\LFW\lfw-deepfunneled\Arnold_Palmer\Arnold_Palmer_0001.jpg,data\LFW\lfw-deepfunneled\Arnold_Palmer\Arnold_Palmer_0003.jpg,1
data\LFW\lfw-deepfunneled\Arnoldo_Aleman\Arnoldo_Aleman_0001.jpg,data\LFW\lfw-deepfunneled\Arnoldo_Aleman\Arnoldo_Aleman_0003.jpg,1
data\LFW\lfw-deepfunneled\Arnoldo_Aleman\Arnoldo_Aleman_0002.jpg,data\LFW\lfw-deepfunneled\Arnoldo_Aleman\Arnoldo_Aleman_0004.jpg,1
data\LFW\lfw-deepfunneled\Aron_Ralston\Aron_Ralston_0001.jpg,data\LFW\lfw-deepfunneled\Aron_Ralston\Aron_Ralston_0002.jpg,1
data\LFW\lfw-deepfunneled\Art_Hoffmann\Art_Hoffmann_0001.jpg,data\LFW\lfw-deepfunneled\Art_Hoffmann\Art_Hoffmann_0002.jpg,1
data\LFW\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0001.jpg,data\LFW\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0002.jpg,1
data\LFW\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0002.jpg,data\LFW\lfw-deepfunneled\Arturo_Gatti\Arturo_Gatti_0003.jpg,1
data\LFW\lfw-deepfunneled\Arye_Mekel\Arye_Mekel_0001.jpg,data\LFW\lfw-deepfunneled\Arye_Mekel\Arye_Mekel_0002.jpg,1
data\LFW\lfw-deepfunneled\Asa_Hutchinson\Asa_Hutchinson_0001.jpg,data\LFW\lfw-deepfunneled\Asa_Hutchinson\Asa_Hutchinson_0002.jpg,1
data\LFW\lfw-deepfunneled\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0010.jpg,data\LFW\lfw-deepfunneled\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0020.jpg,1
data\LFW\lfw-deepfunneled\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0017.jpg,data\LFW\lfw-deepfunneled\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0024.jpg,1
data\LFW\lfw-deepfunneled\Augusto_Roa_Bastos\Augusto_Roa_Bastos_0001.jpg,data\LFW\lfw-deepfunneled\Augusto_Roa_Bastos\Augusto_Roa_Bastos_0002.jpg,1
data\LFW\lfw-deepfunneled\Azra_Akin\Azra_Akin_0001.jpg,data\LFW\lfw-deepfunneled\Azra_Akin\Azra_Akin_0004.jpg,1
data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0001.jpg,data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0003.jpg,1
data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0001.jpg,data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0004.jpg,1
data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0003.jpg,data\LFW\lfw-deepfunneled\Barbara_Walters\Barbara_Walters_0004.jpg,1
data\LFW\lfw-deepfunneled\Barbra_Streisand\Barbra_Streisand_0001.jpg,data\LFW\lfw-deepfunneled\Barbra_Streisand\Barbra_Streisand_0002.jpg,1
data\LFW\lfw-deepfunneled\Barbra_Streisand\Barbra_Streisand_0002.jpg,data\LFW\lfw-deepfunneled\Barbra_Streisand\Barbra_Streisand_0003.jpg,1
data\LFW\lfw-deepfunneled\Barrett_Jackman\Barrett_Jackman_0001.jpg,data\LFW\lfw-deepfunneled\Barrett_Jackman\Barrett_Jackman_0002.jpg,1
data\LFW\lfw-deepfunneled\Barry_Zito\Barry_Zito_0001.jpg,data\LFW\lfw-deepfunneled\Barry_Zito\Barry_Zito_0002.jpg,1
data\LFW\lfw-deepfunneled\Bashar_Assad\Bashar_Assad_0001.jpg,data\LFW\lfw-deepfunneled\Bashar_Assad\Bashar_Assad_0003.jpg,1
data\LFW\lfw-deepfunneled\Bashar_Assad\Bashar_Assad_0003.jpg,data\LFW\lfw-deepfunneled\Bashar_Assad\Bashar_Assad_0004.jpg,1
data\LFW\lfw-deepfunneled\Ben_Glisan\Ben_Glisan_0001.jpg,data\LFW\lfw-deepfunneled\Ben_Glisan\Ben_Glisan_0002.jpg,1
data\LFW\lfw-deepfunneled\Ben_Howland\Ben_Howland_0001.jpg,data\LFW\lfw-deepfunneled\Ben_Howland\Ben_Howland_0002.jpg,1
data\LFW\lfw-deepfunneled\Benazir_Bhutto\Benazir_Bhutto_0001.jpg,data\LFW\lfw-deepfunneled\Benazir_Bhutto\Benazir_Bhutto_0002.jpg,1
data\LFW\lfw-deepfunneled\Benazir_Bhutto\Benazir_Bhutto_0002.jpg,data\LFW\lfw-deepfunneled\Benazir_Bhutto\Benazir_Bhutto_0005.jpg,1
data\LFW\lfw-deepfunneled\Bernard_Landry\Bernard_Landry_0001.jpg,data\LFW\lfw-deepfunneled\Bernard_Landry\Bernard_Landry_0002.jpg,1
data\LFW\lfw-deepfunneled\Bernard_Landry\Bernard_Landry_0001.jpg,data\LFW\lfw-deepfunneled\Bernard_Landry\Bernard_Landry_0004.jpg,1
data\LFW\lfw-deepfunneled\Bernard_Law\Bernard_Law_0001.jpg,data\LFW\lfw-deepfunneled\Bernard_Law\Bernard_Law_0002.jpg,1
data\LFW\lfw-deepfunneled\Bernard_Law\Bernard_Law_0002.jpg,data\LFW\lfw-deepfunneled\Bernard_Law\Bernard_Law_0005.jpg,1
data\LFW\lfw-deepfunneled\Bernardo_Segura\Bernardo_Segura_0001.jpg,data\LFW\lfw-deepfunneled\Bernardo_Segura\Bernardo_Segura_0002.jpg,1
data\LFW\lfw-deepfunneled\Beth_Jones\Beth_Jones_0001.jpg,data\LFW\lfw-deepfunneled\Beth_Jones\Beth_Jones_0002.jpg,1
data\LFW\lfw-deepfunneled\Bijan_Darvish\Bijan_Darvish_0001.jpg,data\LFW\lfw-deepfunneled\Bijan_Darvish\Bijan_Darvish_0003.jpg,1
data\LFW\lfw-deepfunneled\Bijan_Namdar_Zangeneh\Bijan_Namdar_Zangeneh_0001.jpg,data\LFW\lfw-deepfunneled\Bijan_Namdar_Zangeneh\Bijan_Namdar_Zangeneh_0002.jpg,1
data\LFW\lfw-deepfunneled\Bill_Belichick\Bill_Belichick_0001.jpg,data\LFW\lfw-deepfunneled\Bill_Belichick\Bill_Belichick_0002.jpg,1
data\LFW\lfw-deepfunneled\Bill_Callahan\Bill_Callahan_0001.jpg,data\LFW\lfw-deepfunneled\Bill_Callahan\Bill_Callahan_0002.jpg,1
data\LFW\lfw-deepfunneled\Bill_Callahan\Bill_Callahan_0001.jpg,data\LFW\lfw-deepfunneled\Bill_Callahan\Bill_Callahan_0003.jpg,1
data\LFW\lfw-deepfunneled\Bill_Clinton\Bill_Clinton_0004.jpg,data\LFW\lfw-deepfunneled\Bill_Clinton\Bill_Clinton_0020.jpg,1
data\LFW\lfw-deepfunneled\Bill_Gates\Bill_Gates_0003.jpg,data\LFW\lfw-deepfunneled\Bill_Gates\Bill_Gates_0011.jpg,1
data\LFW\lfw-deepfunneled\Bill_Gates\Bill_Gates_0004.jpg,data\LFW\lfw-deepfunneled\Bill_Gates\Bill_Gates_0015.jpg,1
data\LFW\lfw-deepfunneled\Bill_Graham\Bill_Graham_0001.jpg,data\LFW\lfw-deepfunneled\Bill_Graham\Bill_Graham_0007.jpg,1
data\LFW\lfw-deepfunneled\Bill_Graham\Bill_Graham_0008.jpg,data\LFW\lfw-deepfunneled\Bill_Graham\Bill_Graham_0009.jpg,1
data\LFW\lfw-deepfunneled\Bill_Nelson\Bill_Nelson_0001.jpg,data\LFW\lfw-deepfunneled\Bill_Nelson\Bill_Nelson_0002.jpg,1
data\LFW\lfw-deepfunneled\Bill_Simon\Bill_Simon_0004.jpg,data\LFW\lfw-deepfunneled\Bill_Simon\Bill_Simon_0015.jpg,1
data\LFW\lfw-deepfunneled\Bill_Simon\Bill_Simon_0005.jpg,data\LFW\lfw-deepfunneled\Bill_Simon\Bill_Simon_0013.jpg,1
data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0003.jpg,data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0005.jpg,1
data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0003.jpg,data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0006.jpg,1
data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0005.jpg,data\LFW\lfw-deepfunneled\Billy_Crystal\Billy_Crystal_0006.jpg,1
data\LFW\lfw-deepfunneled\Billy_Graham\Billy_Graham_0001.jpg,data\LFW\lfw-deepfunneled\Billy_Graham\Billy_Graham_0002.jpg,1
data\LFW\lfw-deepfunneled\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0002.jpg,data\LFW\lfw-deepfunneled\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0005.jpg,1
data\LFW\lfw-deepfunneled\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0003.jpg,data\LFW\lfw-deepfunneled\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0007.jpg,1
data\LFW\lfw-deepfunneled\Bo_Ryan\Bo_Ryan_0001.jpg,data\LFW\lfw-deepfunneled\Bo_Ryan\Bo_Ryan_0002.jpg,1
data\LFW\lfw-deepfunneled\Bob_Beauprez\Bob_Beauprez_0001.jpg,data\LFW\lfw-deepfunneled\Bob_Beauprez\Bob_Beauprez_0002.jpg,1
data\LFW\lfw-deepfunneled\Bob_Geldof\Bob_Geldof_0001.jpg,data\LFW\lfw-deepfunneled\Bob_Geldof\Bob_Geldof_0002.jpg,1
data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0001.jpg,data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0005.jpg,1
data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0001.jpg,data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0006.jpg,1
data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0002.jpg,data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0004.jpg,1
data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0003.jpg,data\LFW\lfw-deepfunneled\Bob_Graham\Bob_Graham_0005.jpg,1
data\LFW\lfw-deepfunneled\Bob_Huggins\Bob_Huggins_0001.jpg,data\LFW\lfw-deepfunneled\Bob_Huggins\Bob_Huggins_0002.jpg,1
data\LFW\lfw-deepfunneled\Bob_Stoops\Bob_Stoops_0005.jpg,data\LFW\lfw-deepfunneled\Bob_Stoops\Bob_Stoops_0007.jpg,1
data\LFW\lfw-deepfunneled\Bobby_Robson\Bobby_Robson_0001.jpg,data\LFW\lfw-deepfunneled\Bobby_Robson\Bobby_Robson_0002.jpg,1
data\LFW\lfw-deepfunneled\Boris_Berezovsky\Boris_Berezovsky_0001.jpg,data\LFW\lfw-deepfunneled\Boris_Berezovsky\Boris_Berezovsky_0002.jpg,1
data\LFW\lfw-deepfunneled\Branko_Crvenkovski\Branko_Crvenkovski_0001.jpg,data\LFW\lfw-deepfunneled\Branko_Crvenkovski\Branko_Crvenkovski_0003.jpg,1
data\LFW\lfw-deepfunneled\Brendan_Hansen\Brendan_Hansen_0001.jpg,data\LFW\lfw-deepfunneled\Brendan_Hansen\Brendan_Hansen_0002.jpg,1
data\LFW\lfw-deepfunneled\Brooke_Shields\Brooke_Shields_0001.jpg,data\LFW\lfw-deepfunneled\Brooke_Shields\Brooke_Shields_0002.jpg,1
